edge,status,exact_value,evidence,sha256,notes
caller,CLOSED_STATIC,"com.amazon.alexa.multimodal.gemini / ExplicitIntentAction.prewarmApplicationProcess","artifacts/phase6j/ota-alexa-system-ota-jadx-20260805-01/sources/amazon/speech/sim/router/intentrouter/ExplicitIntentAction.java:268-282",c1a8bcfc0952239a26b669f7bc227fcc01024ac5db26db7e6eed2ae5cb6a2dc2,"唯一 retained exact direct caller; corpus外 callers UNKNOWN"
production_uid,CONFIRMED_SNAPSHOT_LIMITED,10044,"saved APP_PREWARM package snapshot joins com.amazon.alexa.multimodal.gemini to UID 10044 and matching PackageSetting","artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt:17-20;262-265",4a71d4d60cdb6c45233e270e3548f02c9ea77e9d3b3b4ed33a7aeb1e130bb798,"snapshot/build limited; post-clear identity and other callers remain UNKNOWN"
app_prewarm_manifest_request,CLOSED_STATIC,com.amazon.permission.APP_PREWARM,"artifacts/phase6j/ota-alexa-system-ota-jadx-20260805-01/manifest.txt:147",016bb989d131b2d3f5da85d57962b19054dddbc67eb08d6a9d0812077eacb049,"Alexa requests permission"
app_prewarm_effective_grant,POSITIVE_STATIC,"granted=true; protection=signature|amazon","artifacts/phase6x/prewarm-authorization-20260805-05/com_amazon_permission_APP_PREWARM.block.txt:1-4;12191;16899;19950",4a71d4d60cdb6c45233e270e3548f02c9ea77e9d3b3b4ed33a7aeb1e130bb798,"static package record; does not prove arbitrary caller grant"
service_publication,CLOSED_STATIC,"amazonactivitymanager -> AmazonActivityManagerService","artifacts/amazon-services/amazonactivitymanager_fosinit.xml:8-28",5d212c94f047aee7abc85ef6dc99aa92ca61e3e3d9318bb69db3c10d9e0da411,"registration evidence"
selinux_service_gate,PARTIAL_UNKNOWN,"shell UID 2000 denied service_manager find; Alexa allow rule UNKNOWN","artifacts/phase6aq/public-summary-20260805-01/amazon-service-avc.txt:6",d436542564947472c1b2481519312542d7d1053512b9cb47c68abbb981e0b0a4,"not a production-caller denial proof"
binder_tx,CLOSED_STATIC,IBinder.transact(1),"decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log:394721-394739",fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,"String + two ints; no proxy-side APP_PREWARM gate"
method_gate,ANOMALY_CANDIDATE,"checkCallingPermission(APP_PREWARM) then clearCallingIdentity without observed result consumption","decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:40453-40534",ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,"static candidate only"
identity,PARTIAL_UNKNOWN,"incoming identity before check; clearCallingIdentity before PM/AM; restore on normal path","decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:40472-40503;40525-40534",ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,"post-clear UID/package and exceptional cleanup UNKNOWN"
user_scope,UNKNOWN,"explicit user -> getApplicationInfo(target,1024,user); caller supplies foregroundProfileId","ExplicitIntentAction.java:274; fosservices/disassembly.log:40480-40489","c1a8bcfc0952239a26b669f7bc227fcc01024ac5db26db7e6eed2ae5cb6a2dc2;ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c","validation/profile-parent/cross-user behavior UNKNOWN"
sink,CLOSED_STATIC,"PreWarmCacheHelper -> startProcessLocked(reason=prewarm)","decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:40490-40503",ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,"process/resource sink only"
effect,CLOSED_BOUNDED,"process/cache prewarm; no HOME/package-state/root sink","Phase 6/7/8 ledgers",,"not privilege escalation"
